id,category,subcategory,name,description,base_price
식기세척기-대형,,식기세척기,대형 식기세척기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,60000
음식물처리기-중형,,음식물처리기,중형 음식물처리기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
음식물처리기-대형,,음식물처리기,대형 음식물처리기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
전자레인지-20l 이하,,전자레인지,20L 이하 전자레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,20000
전자레인지-20l 이상,,전자레인지,20L 이상 전자레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,30000
정수기-상단부,,정수기,상단부 정수기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
정수기-하단부,,정수기,하단부 정수기,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
가스레인지-2구,,가스레인지,2구 가스레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
가스레인지-3구,,가스레인지,3구 가스레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
가스레인지-4구 이상,,가스레인지,4구 이상 가스레인지,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
주방 테이블-2인용,,주방 테이블,2인용 주방 테이블,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
주방 테이블-4인용,,주방 테이블,4인용 주방 테이블,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
주방 테이블-6인용 이상,,주방 테이블,6인용 이상 주방 테이블,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
식탁 의자-2개 이하,,식탁 의자,2개 이하 식탁 의자,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
식탁 의자-2개 이상,,식탁 의자,2개 이상 식탁 의자,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
자전거-어린이용,,자전거,어린이용 자전거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
